====================
Model: SRCNN
Scale: x4
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: SRCNN_X4
====================
[Epoch 001] train_loss=0.0557 | train_psnr=20.78 dB | val_loss=0.0100 | val_psnr=22.98 dB | time=58.2s
[Epoch 002] train_loss=0.0095 | train_psnr=26.63 dB | val_loss=0.0052 | val_psnr=24.89 dB | time=58.4s
[Epoch 003] train_loss=0.0052 | train_psnr=29.03 dB | val_loss=0.0037 | val_psnr=26.17 dB | time=58.6s
[Epoch 004] train_loss=0.0044 | train_psnr=29.52 dB | val_loss=0.0035 | val_psnr=26.43 dB | time=57.2s
[Epoch 005] train_loss=0.0042 | train_psnr=29.75 dB | val_loss=0.0034 | val_psnr=26.58 dB | time=56.9s
[Epoch 006] train_loss=0.0037 | train_psnr=30.60 dB | val_loss=0.0034 | val_psnr=26.63 dB | time=55.9s
[Epoch 007] train_loss=0.0037 | train_psnr=30.66 dB | val_loss=0.0033 | val_psnr=26.78 dB | time=55.6s
[Epoch 008] train_loss=0.0036 | train_psnr=30.70 dB | val_loss=0.0032 | val_psnr=26.87 dB | time=55.5s
[Epoch 009] train_loss=0.0035 | train_psnr=31.05 dB | val_loss=0.0032 | val_psnr=26.94 dB | time=56.8s
[Epoch 010] train_loss=0.0034 | train_psnr=30.99 dB | val_loss=0.0031 | val_psnr=26.99 dB | time=55.8s
[Epoch 011] train_loss=0.0034 | train_psnr=31.11 dB | val_loss=0.0031 | val_psnr=27.03 dB | time=55.0s
[Epoch 012] train_loss=0.0035 | train_psnr=30.82 dB | val_loss=0.0031 | val_psnr=27.07 dB | time=53.6s
[Epoch 013] train_loss=0.0034 | train_psnr=30.97 dB | val_loss=0.0031 | val_psnr=27.09 dB | time=56.2s
[Epoch 014] train_loss=0.0034 | train_psnr=31.14 dB | val_loss=0.0030 | val_psnr=27.11 dB | time=55.2s
[Epoch 015] train_loss=0.0033 | train_psnr=31.10 dB | val_loss=0.0030 | val_psnr=27.15 dB | time=55.3s
[Epoch 016] train_loss=0.0032 | train_psnr=31.26 dB | val_loss=0.0030 | val_psnr=27.17 dB | time=53.1s
[Epoch 017] train_loss=0.0033 | train_psnr=31.11 dB | val_loss=0.0030 | val_psnr=27.18 dB | time=54.5s
[Epoch 018] train_loss=0.0033 | train_psnr=31.22 dB | val_loss=0.0030 | val_psnr=27.17 dB | time=55.0s
[Epoch 019] train_loss=0.0032 | train_psnr=31.37 dB | val_loss=0.0030 | val_psnr=27.20 dB | time=53.4s
[Epoch 020] train_loss=0.0033 | train_psnr=31.06 dB | val_loss=0.0030 | val_psnr=27.22 dB | time=55.6s
[Epoch 021] train_loss=0.0034 | train_psnr=30.82 dB | val_loss=0.0030 | val_psnr=27.21 dB | time=55.0s
[Epoch 022] train_loss=0.0032 | train_psnr=31.33 dB | val_loss=0.0030 | val_psnr=27.23 dB | time=56.1s
[Epoch 023] train_loss=0.0032 | train_psnr=31.74 dB | val_loss=0.0029 | val_psnr=27.24 dB | time=53.2s
[Epoch 024] train_loss=0.0033 | train_psnr=31.33 dB | val_loss=0.0029 | val_psnr=27.25 dB | time=54.2s
[Epoch 025] train_loss=0.0033 | train_psnr=31.13 dB | val_loss=0.0029 | val_psnr=27.24 dB | time=53.4s
[Epoch 026] train_loss=0.0032 | train_psnr=31.20 dB | val_loss=0.0029 | val_psnr=27.26 dB | time=55.0s
[Epoch 027] train_loss=0.0032 | train_psnr=31.34 dB | val_loss=0.0029 | val_psnr=27.26 dB | time=56.1s
[Epoch 028] train_loss=0.0031 | train_psnr=31.42 dB | val_loss=0.0029 | val_psnr=27.27 dB | time=56.1s
[Epoch 029] train_loss=0.0031 | train_psnr=31.29 dB | val_loss=0.0029 | val_psnr=27.27 dB | time=55.4s
[Epoch 030] train_loss=0.0030 | train_psnr=31.77 dB | val_loss=0.0029 | val_psnr=27.28 dB | time=54.8s
[Epoch 031] train_loss=0.0032 | train_psnr=31.28 dB | val_loss=0.0029 | val_psnr=27.28 dB | time=54.9s
[Epoch 032] train_loss=0.0032 | train_psnr=31.39 dB | val_loss=0.0029 | val_psnr=27.28 dB | time=53.9s
[Epoch 033] train_loss=0.0031 | train_psnr=31.40 dB | val_loss=0.0029 | val_psnr=27.28 dB | time=54.6s
[Epoch 034] train_loss=0.0032 | train_psnr=31.62 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=55.6s
[Epoch 035] train_loss=0.0032 | train_psnr=31.11 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=54.6s
[Epoch 036] train_loss=0.0031 | train_psnr=31.48 dB | val_loss=0.0029 | val_psnr=27.30 dB | time=54.4s
[Epoch 037] train_loss=0.0032 | train_psnr=31.40 dB | val_loss=0.0029 | val_psnr=27.30 dB | time=54.6s
[Epoch 038] train_loss=0.0032 | train_psnr=31.42 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=54.8s
[Epoch 039] train_loss=0.0032 | train_psnr=31.35 dB | val_loss=0.0029 | val_psnr=27.30 dB | time=57.1s
[Epoch 040] train_loss=0.0031 | train_psnr=31.50 dB | val_loss=0.0029 | val_psnr=27.28 dB | time=56.0s
[Epoch 041] train_loss=0.0031 | train_psnr=31.45 dB | val_loss=0.0029 | val_psnr=27.30 dB | time=55.4s
[Epoch 042] train_loss=0.0031 | train_psnr=31.44 dB | val_loss=0.0029 | val_psnr=27.31 dB | time=55.7s
[Epoch 043] train_loss=0.0030 | train_psnr=31.85 dB | val_loss=0.0029 | val_psnr=27.31 dB | time=55.9s
[Epoch 044] train_loss=0.0031 | train_psnr=31.67 dB | val_loss=0.0029 | val_psnr=27.32 dB | time=55.4s
[Epoch 045] train_loss=0.0032 | train_psnr=31.57 dB | val_loss=0.0029 | val_psnr=27.32 dB | time=54.8s
[Epoch 046] train_loss=0.0031 | train_psnr=31.58 dB | val_loss=0.0029 | val_psnr=27.32 dB | time=55.3s
[Epoch 047] train_loss=0.0031 | train_psnr=31.41 dB | val_loss=0.0029 | val_psnr=27.33 dB | time=55.5s
[Epoch 048] train_loss=0.0031 | train_psnr=31.53 dB | val_loss=0.0029 | val_psnr=27.33 dB | time=55.2s
[Epoch 049] train_loss=0.0031 | train_psnr=31.67 dB | val_loss=0.0029 | val_psnr=27.33 dB | time=55.5s
[Epoch 050] train_loss=0.0031 | train_psnr=31.61 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=55.3s
[Epoch 051] train_loss=0.0030 | train_psnr=31.88 dB | val_loss=0.0029 | val_psnr=27.34 dB | time=54.8s
[Epoch 052] train_loss=0.0031 | train_psnr=31.39 dB | val_loss=0.0029 | val_psnr=27.33 dB | time=54.5s
[Epoch 053] train_loss=0.0030 | train_psnr=31.59 dB | val_loss=0.0029 | val_psnr=27.35 dB | time=53.2s
[Epoch 054] train_loss=0.0031 | train_psnr=31.64 dB | val_loss=0.0029 | val_psnr=27.36 dB | time=55.6s
[Epoch 055] train_loss=0.0031 | train_psnr=31.61 dB | val_loss=0.0029 | val_psnr=27.36 dB | time=53.8s
[Epoch 056] train_loss=0.0032 | train_psnr=31.58 dB | val_loss=0.0029 | val_psnr=27.34 dB | time=57.1s
[Epoch 057] train_loss=0.0031 | train_psnr=31.48 dB | val_loss=0.0029 | val_psnr=27.36 dB | time=57.8s
[Epoch 058] train_loss=0.0032 | train_psnr=31.67 dB | val_loss=0.0029 | val_psnr=27.36 dB | time=56.4s
[Epoch 059] train_loss=0.0032 | train_psnr=31.42 dB | val_loss=0.0029 | val_psnr=27.34 dB | time=57.1s
[Epoch 060] train_loss=0.0031 | train_psnr=31.82 dB | val_loss=0.0029 | val_psnr=27.35 dB | time=56.0s
[Epoch 061] train_loss=0.0030 | train_psnr=31.96 dB | val_loss=0.0029 | val_psnr=27.38 dB | time=55.4s
[Epoch 062] train_loss=0.0031 | train_psnr=31.69 dB | val_loss=0.0029 | val_psnr=27.38 dB | time=55.3s
[Epoch 063] train_loss=0.0031 | train_psnr=31.69 dB | val_loss=0.0029 | val_psnr=27.35 dB | time=55.7s
[Epoch 064] train_loss=0.0031 | train_psnr=31.68 dB | val_loss=0.0029 | val_psnr=27.22 dB | time=57.5s
[Epoch 065] train_loss=0.0030 | train_psnr=31.98 dB | val_loss=0.0028 | val_psnr=27.39 dB | time=56.1s
[Epoch 066] train_loss=0.0032 | train_psnr=31.73 dB | val_loss=0.0028 | val_psnr=27.39 dB | time=53.7s
[Epoch 067] train_loss=0.0030 | train_psnr=31.79 dB | val_loss=0.0028 | val_psnr=27.40 dB | time=56.2s
[Epoch 068] train_loss=0.0032 | train_psnr=31.55 dB | val_loss=0.0028 | val_psnr=27.40 dB | time=55.0s
[Epoch 069] train_loss=0.0031 | train_psnr=32.02 dB | val_loss=0.0028 | val_psnr=27.40 dB | time=57.8s
[Epoch 070] train_loss=0.0030 | train_psnr=31.67 dB | val_loss=0.0028 | val_psnr=27.40 dB | time=56.1s
[Epoch 071] train_loss=0.0030 | train_psnr=31.78 dB | val_loss=0.0028 | val_psnr=27.40 dB | time=55.8s
[Epoch 072] train_loss=0.0030 | train_psnr=31.86 dB | val_loss=0.0028 | val_psnr=27.38 dB | time=54.4s
[Epoch 073] train_loss=0.0030 | train_psnr=31.78 dB | val_loss=0.0028 | val_psnr=27.41 dB | time=54.1s
[Epoch 074] train_loss=0.0030 | train_psnr=31.87 dB | val_loss=0.0028 | val_psnr=27.41 dB | time=57.0s
